sector,filename,transit_events,n_points,transit_supported,delta_bic,timing_shift_hours,depth_ppm,formal_error_ppm,scatter_scaled_error_ppm,reduced_chi_square,beta,robust_error_ppm
20,tess2019357164649-s0020-0000000086396382-0165-s_lc.fits,22,11385,True,17135.9545,-0.01081096713,15714.42688,125.1613079,125.1613079,0.236639779,1.277500951,159.8936898
43,tess2021258175143-s0043-0000000086396382-0214-s_lc.fits,21,10674,True,69562.46605,-0.04089743899,15451.22334,61.10814134,61.10814134,0.9313363041,1.221771206,74.66016752
45,tess2021310001228-s0045-0000000086396382-0216-s_lc.fits,22,11169,True,74475.84028,-0.03663817887,15283.75591,58.41227196,58.99996916,1.020223616,1.669738692,98.51453133
