sector,epoch,predicted_bjd,measured_bjd,oc_seconds,timing_error_seconds,n_points,beta,reduced_chi_square,delta_bic,supported
20,1132,2458843.005500932,2458843.004760093,-64.00848839262615,90.21106138655672,318,1.0,0.20825340890552405,698.8697563168571,True
20,1133,2458844.096919833,2458844.096657926,-22.628766513977425,94.60820560425071,322,1.0268140621975124,0.23611910473110265,707.7791375932298,True
20,1134,2458845.188338734,2458845.187921756,-36.02692643185152,103.20718081066623,323,1.1424286606797804,0.22294763591459282,681.1406867236623,True
20,1135,2458846.279757635,2458846.2796761,-7.044675047122936,90.25199932642602,324,1.0,0.22423461552505172,708.3958648438023,True
20,1136,2458847.371176536,2458847.370874055,-26.134363684810264,97.85984267487696,324,1.08340592321549,0.23926608340740751,696.1466927918826,True
20,1137,2458848.462595437,2458848.4623913527,-17.632892940863044,109.36708525477313,322,1.1808083128815627,0.26267266046600063,741.486024827234,True
20,1138,2458849.554014338,2458849.5531122666,-77.93900562650796,109.70948225890757,325,1.2156172257165483,0.24062809887178926,651.7357121405161,True
20,1139,2458850.645433239,2458850.644965912,-40.37705266589948,90.27150437111978,321,1.0,0.23538785774798723,688.0278466886951,True
20,1140,2458851.73685214,2458851.735882858,-83.74599724596025,93.69420909857374,324,1.038492661441166,0.24660245367595693,710.5908325697127,True
20,1141,2458852.828271041,2458852.8281431133,-11.052955508701281,97.18987590618742,324,1.0777478761084764,0.20682010729577624,700.1999392216892,True
20,1142,2458853.919689942,2458853.9193339897,-30.754300034966647,98.01561059578528,320,1.063645238700495,0.23055458631214232,763.4494498708275,True
20,1146,2458858.285365546,2458858.284829702,-46.29690950901835,125.84810302617177,323,1.3849324242697347,0.27838243470324786,658.5912320624828,True
20,1147,2458859.376784447,2458859.377248293,40.0762757503299,93.07532813244003,321,1.0,0.21485130585242554,691.6596499830277,True
20,1148,2458860.468203348,2458860.4683784503,15.128810992383821,90.06927926679435,322,1.0,0.22459382612438536,734.9495368842229,True
20,1149,2458861.559622249,2458861.558072674,-133.8832831431661,90.14957925300536,324,1.0,0.2412545649170683,735.632564416414,True
20,1150,2458862.65104115,2458862.6504113777,-54.412347002311755,92.90644728707682,319,1.0,0.23631600450624,681.2463760293291,True
20,1151,2458863.742460051,2458863.7418173845,-55.5263736849087,120.6402602367533,324,1.3411095892905922,0.2519802416370073,670.2276374291387,True
20,1152,2458864.833878952,2458864.833975268,8.321707542150632,134.58196505185995,318,1.4929809966101393,0.18989594301295726,680.0656579342584,True
